PROTEIN_U,PROTEIN_V,CO_EXP
YBR167C,YLR145W,0.05079297033467727
YJR101W,YMR158W,0.9536743568565059
YDR175C,YGR084C,0.8722985738598878
YGR084C,YOR158W,0.793564634693813
YGR084C,YPL013C,0.8946056104627675
YKR006C,YLR312W-A,0.9216878864633915
YMR213W,YPL151C,0.5053291926044224
YCR081W,YNL236W,0.3920912061248218
YBR122C,YCR046C,0.9173402331844238
YBR122C,YKR085C,0.9385361470118218
YMR188C,YNL137C,0.919944086617046
YDR443C,YPR168W,0.0
YNL306W,YNR036C,0.7524915457470379
YER094C,YFR050C,0.9190777227229562
YGR165W,YMR158W,0.938939939690036
YMR024W,YNL005C,0.8505763435846889
YGR165W,YPL118W,0.8642635967559025
YDR322W,YML025C,0.9356746992325337
YNR036C,YPL013C,0.803131200055324
YDR471W,YGR085C,0.6600384504051922
YGR215W,YJR113C,0.7628237221215245
YKR085C,YLR439W,0.9473137298559241
YNR010W,YPR070W,0.20019760837293027
YGR084C,YNL306W,0.8682373208168732
YOR158W,YPL013C,0.8235175390432514
YBL090W,YMR158W,0.9660829447061439
YNL137C,YNL306W,0.9212254985211678
YDR116C,YDR296W,0.916916095308191
YCR081W,YGL025C,0.0
YDR308C,YHR058C,0.04287637527436668
YGL025C,YNR010W,0.16674059798728866
YBR193C,YPR168W,0.3529619934317687
YBR122C,YDR462W,0.8515004207289446
YMR158W,YNL137C,0.8977401879891752
YBL090W,YNL137C,0.8656898011008191
YDR443C,YMR112C,0.2763407911046815
YGR215W,YNL306W,0.8223430023575247
YHR058C,YNL236W,0.0
YBR146W,YGR165W,0.8514796408157035
YIR025W,YOR249C,0.0
YFR036W,YGL240W,0.5087340271477582
YLR117C,YMR213W,0.14346735717089948
YDR118W,YLR127C,0.0
YCR046C,YCR071C,0.9313417796505108
YGR215W,YMR188C,0.8300787768786106
YBR122C,YKL167C,0.9038332326345623
YJR113C,YNL137C,0.8371424004910862
YDR308C,YGL151W,0.0
YJR113C,YPL013C,0.8731170445311582
YBR167C,YNL221C,0.0
YGR165W,YNL137C,0.8551355133398836
YKR085C,YMR024W,0.9520191317765627
YDR237W,YKR085C,0.9475182686892799
YKR006C,YML025C,0.9410974338841651
YBL038W,YNL252C,0.8635619666942684
YDL136W,YGR034W,0.0
YIL093C,YPL013C,0.8890494300063619
YDR175C,YMR158W,0.9348725498212204
YBL038W,YDR237W,0.9327090136693096
YIL093C,YMR158W,0.9346477150859612
YMR158W,YNL306W,0.8746227747928635
YCR046C,YNL005C,0.8463002387553407
YBR257W,YNL221C,0.42398808940607685
YBL090W,YGR215W,0.865766711829098
YER094C,YJL001W,0.8144278356020802
YDR116C,YMR193W,0.9429523053287878
YDR462W,YKR085C,0.8128655765643662
YDR116C,YKR085C,0.9384332876320434
YGR165W,YJR101W,0.9253915113012207
YBR251W,YJR101W,0.8178582855228218
YDR237W,YML025C,0.9279258733872603
YHR059W,YPL118W,0.8794656343432641
YDR473C,YGR091W,0.2506651597655256
YIL093C,YNL137C,0.8443594847173301
YDR378C,YNL147W,0.35008054664089894
YGR215W,YIL093C,0.899897789548108
YBL090W,YPL013C,0.9442091172614818
YGR215W,YNL137C,0.7883627934025823
YKL167C,YML025C,0.9016634146994738
YBR122C,YNL005C,0.8187250224065377
YGR055W,YKL051W,0.0
YDR118W,YFR036W,0.0
YGR165W,YMR188C,0.8874391644262429
YGR165W,YNL306W,0.8426902565652024
YGR034W,YJL177W,0.0
YBR251W,YDR337W,0.9102010411441613
YGR084C,YGR215W,0.9413081151289401
YDR407C,YML077W,0.0
YDR116C,YKR006C,0.8713506906301967
YDR237W,YKL167C,0.9065871008514312
YBR193C,YGL151W,0.0
YDL008W,YDR260C,0.0
YBR146W,YHR059W,0.858877178495447
YCR046C,YMR193W,0.9459708513081703
YDR347W,YNL137C,0.8948469858852925
YKR085C,YLR312W-A,0.9663976009079238
YAL033W,YBR257W,0.0697227593485847
YMR112C,YNL236W,0.0
YGR084C,YNL137C,0.8029037017173561
YNL137C,YNR036C,0.6663188308499502
YHR059W,YJR101W,0.8918013599416792
YBL038W,YCR071C,0.9408669110248922
YBR193C,YGL025C,0.6614432728034653
YGR074W,YLR275W,0.2584606703524471
YAL033W,YBR167C,0.0
YDR347W,YMR158W,0.9347006371684194
YDR260C,YLR102C,0.26416417924972135
YKR006C,YLR439W,0.9446099188424567
YGL025C,YPR070W,0.0
YDL030W,YML049C,0.0
YBL041W,YJL001W,0.6493912041255161
YBR251W,YNL306W,0.8304344291500857
YCR081W,YPL042C,0.13460906040025075
YLR186W,YPR144C,0.9117037546824182
YGR165W,YJR113C,0.8850820887206058
YHR058C,YOL135C,0.40109696629486796
YBL038W,YCR046C,0.9281535264209042
YBL027W,YGR034W,0.0
YBR251W,YOR158W,0.8428403552792773
YCL028W,YMR112C,0.0
YLR127C,YOR249C,0.28904958502706946
YCR046C,YDR296W,0.9321094076125302
YIR015W,YNL221C,0.0
YGR085C,YNL069C,0.7551718609222993
YBL093C,YMR112C,0.24225775143014727
YHR058C,YOR174W,0.2726004853753015
YDR296W,YNL252C,0.9053871924166089
YDR322W,YKL167C,0.9094209132564044
YBL090W,YGR165W,0.9455816567785017
YHR058C,YLR071C,0.018560089935210262
YDL008W,YLR127C,0.0
YDR347W,YGR215W,0.8802398375180315
YHR059W,YOR158W,0.84332233914807
YAL005C,YDL229W,0.0
YKL173W,YPL213W,0.0
YDR347W,YGR165W,0.9672244126429923
YFR036W,YOR249C,0.0
YDR237W,YKR006C,0.9059390303545496
YBR193C,YCR081W,0.0
YBL090W,YBR251W,0.8359111149379835
YBR251W,YIL093C,0.871330921208872
YKL144C,YNL151C,0.8074946382683282
YGR165W,YIL093C,0.975066373492445
YBR122C,YMR024W,0.900947645364144
YHR041C,YHR058C,0.3120806972598894
YDR471W,YML073C,0.690888479841873
YDR443C,YPR070W,0.0
YDR118W,YIR025W,0.30549935625584584
YDR462W,YNL252C,0.6905471973190469
YDR324C,YPL126W,0.8838581946648845
YGR215W,YMR158W,0.8738957962302324
YGL240W,YOR249C,0.0
YBL041W,YFR050C,0.7183703808480715
YDL087C,YGR013W,0.3067744942789402
YGL151W,YNR010W,0.0
YBR251W,YPL013C,0.8434833156442717
YCR071C,YGR220C,0.8414865233323741
YBR193C,YPR070W,0.0
YAL033W,YIR015W,0.0
YMR093W,YPL126W,0.9170936672069117
YLR102C,YLR127C,0.0
YDL008W,YFR036W,0.0
YCR081W,YNR010W,0.0
YGL129C,YHR059W,0.9081978126397785
YGL025C,YGL151W,0.0
YHR148W,YMR093W,0.9256091167730696
YDR443C,YNL236W,0.0
YDL083C,YGR085C,0.8226520476948772
YDR443C,YPL042C,0.0
YDR322W,YMR193W,0.9640034248330789
YDR308C,YNR010W,0.04293811756330619
YCR052W,YML127W,0.5398198332446293
YBL027W,YNL096C,0.8548108631476543
YDR322W,YKR006C,0.9247869012963718
YDR116C,YKL167C,0.8953073173830649
YGR085C,YML073C,0.6048257116954766
YDR347W,YPL013C,0.8955785489960678
YGR215W,YNR037C,0.8669706788834122
YBL090W,YHR059W,0.9175562527156178
YFR036W,YHR166C,0.0
YBR119W,YHR086W,0.0
YLR312W-A,YMR193W,0.9517468558467389
YOL135C,YPR070W,0.31975357963453815
YKL167C,YNL252C,0.8786207336494047
YFR036W,YLR102C,0.0
YDR471W,YGR034W,0.0
YBL038W,YDR462W,0.8894629957047707
YDR347W,YHR059W,0.9278633636352602
YDR260C,YNL172W,0.48986990722892465
YLR145W,YNL221C,0.5779620267945238
YHR148W,YPL126W,0.9134643849769337
YKL167C,YLR312W-A,0.9221722021302395
YBR122C,YKR006C,0.9143076813644053
YDR407C,YMR218C,0.0
YBL018C,YBR257W,0.34201293905616076
YDL030W,YMR240C,0.04843981575231153
YDR237W,YMR193W,0.9321632914730572
YBR251W,YJR113C,0.7534183438958543
YGR220C,YLR439W,0.8550132650661606
YKR025W,YNL151C,0.7764124618552166
YBL027W,YDL136W,0.0
YDR246W,YDR472W,0.0
YCR071C,YNL005C,0.8604125041476937
YCR071C,YDR462W,0.9046173290110364
YLR439W,YMR193W,0.9359880101571352
YHR041C,YNR010W,0.0
YBL018C,YBR167C,0.0
YML073C,YNL069C,0.8180848971269912
YLR071C,YPR070W,0.15719533722053763
YDL150W,YNL151C,0.8659571276259646
YDR246W,YML077W,0.0
YDR449C,YHR148W,0.9179708512659097
YJL011C,YNL151C,0.856684812403564
YHR148W,YPR144C,0.9165566305989418
YDR443C,YHR058C,0.0
YBR251W,YNR036C,0.7123547425814982
YKL167C,YMR024W,0.8742618782250104
YBR257W,YGR030C,0.48644466330216474
YDL008W,YIR025W,0.29530275302319536
YBR257W,YHR062C,0.3722705354042617
YLR127C,YNL172W,0.2861305510218313
YGL025C,YOR174W,0.0
YNR010W,YOL135C,0.5582383180933983
YDL150W,YKL144C,0.7533471008871292
YDR118W,YGL240W,0.0
YOR174W,YPR168W,0.0
YCR046C,YDR462W,0.8592095458707928
YBR167C,YHR062C,0.0
YLR117C,YPR101W,0.08628405495905236
YDR462W,YLR439W,0.8338315156663203
YDR322W,YDR462W,0.8189205212887573
YDL083C,YDR471W,0.8350576382275319
YJL063C,YNL252C,0.898104419251725
YOL127W,YOR063W,0.7211812060878248
YJL011C,YKL144C,0.7822750897775436
YML077W,YMR218C,0.155480894635213
YDR260C,YHR166C,0.0
YDR308C,YNL236W,0.4106726368931117
YDL209C,YPL151C,0.5891609590034013
YBL027W,YBR181C,0.0
YGL151W,YLR071C,0.0
YDR041W,YHR059W,0.8437288951414514
YKR006C,YNL252C,0.8996420715047543
YLR071C,YNR010W,0.2316393088936284
YBR251W,YGR084C,0.8751645089177765
YMR112C,YOL135C,0.0
YBR251W,YDR347W,0.8305857940723946
YDR237W,YGR220C,0.8601448396327952
YDR116C,YGR220C,0.8254511757408445
YDL098C,YDR473C,0.22050322131725092
YGR074W,YLR147C,0.28102715769249653
YLR129W,YMR093W,0.893297625418562
