PROTEIN_U,PROTEIN_V,PUBMED
YGL180W,YJR019C,16319894
YFL039C,YPL242C,9679143
YGL104C,YHR114W,11743162
YGR090W,YLR259C,19536198
YAL062W,YDL229W,19536198
YER020W,YPL221W,18467557
Q0130,YOL027C,16476776
YCL027W,YMR140W,19841731
YFL002C,YNL062C,21825077
YFR004W,YLL045C,18757749
YFR004W,YLL045C,20170199
YBR136W,YLR304C,11805837
YGL155W,YLL024C,19536198
YOL027C,YPR125W,20427570
YHR052W,YHR066W,12374754
YHR052W,YHR066W,11805826
YML085C,YOL111C,20722039
YLL024C,YLR432W,19536198
YDL008W,YDR059C,17632060
YJR097W,YOR116C,19536198
YAL059W,YPR152C,21386897
YIR026C,YMR022W,14690591
YLR268W,YLR440C,21550981
YPL227C,YPL227C,15988575
YER151C,YOR293W,20508643
YDR217C,YMR186W,19536198
YDL171C,YER110C,16429126
YDL195W,YLR150W,16429126
YDR314C,YLR090W,19536198
YLR403W,YPL180W,19328065
YGL212W,YPL246C,15263065
YGL212W,YPL246C,10688190
YCR057C,YGR034W,16429126
YNL302C,YNR051C,20508643
YBR050C,YER133W,8649403
YBR050C,YER133W,15601868
YFR017C,YMR186W,19536198
YBR050C,YER133W,10790385
YNL209W,YNL278W,19536198
YML065W,YNL088W,20595233
YEL030W,YPR025C,19536198
YER110C,YGR119C,11387327
YER110C,YGR119C,9368759
YDL047W,YLR248W,14759368
YLL024C,YLR151C,19536198
YML046W,YMR125W,17922018
YDR118W,YIR025W,12477395
YDR118W,YIR025W,12609981
YDR118W,YIR025W,21186364
YHR064C,YML112W,19536198
YNL041C,YPR105C,15932880
YDR118W,YIR025W,15060174
YDR118W,YIR025W,12574115
YNL041C,YPR105C,16429126
YKR081C,YOR227W,21926967
YDR226W,YJL153C,18467557
YDR297W,YJR023C,14690591
YFR028C,YGL133W,21127052
YBR160W,YOR104W,14574415
Q0085,YBR039W,21266956
YGR034W,YOR290C,14660704
YGR209C,YOR181W,21035341
YGL061C,YGR113W,10688190
YGL061C,YGR113W,12925767
YGL061C,YGR113W,20730753
YGL061C,YGR113W,11553702
YGL061C,YGR113W,17634282
YDL043C,YMR240C,16429126
YDL043C,YMR240C,16554755
YLR176C,YNL209W,19536198
YGL061C,YGR113W,11149931
YDL043C,YMR240C,11805826
YAL005C,YKL125W,19536198
YLR096W,YPR115W,20489023
YGL061C,YGR113W,11283351
YGL061C,YGR113W,9817759
YDL229W,YIL096C,19536198
YLR275W,YPR101W,11884590
YNL110C,YOR145C,17922018
YDR457W,YML010W,12556496
YGL179C,YPR083W,16319894
YDR335W,YOL051W,11805837
YFR014C,YGL055W,16319894
YBL056W,YOR020C,11283351
YEL020W,YKL195W,17978092
YEL020W,YKL195W,21865594
YEL020W,YKL195W,18852299
YEL020W,YKL195W,19667201
YEL020W,YKL195W,21944719
YEL020W,YKL195W,17553782
YEL020W,YKL195W,15359280
YEL020W,YKL195W,16181637
YIL019W,YLR129W,16762320
YEL020W,YKL195W,20026652
YDR100W,YLR393W,18719252
YLR312W,YPR125W,16476776
YJR014W,YNL007C,19536198
YDL117W,YLR442C,19841731
YBR083W,YHR061C,14690591
YBR160W,YPL150W,16319894
YPL106C,YPL240C,15879519
YPL106C,YPL240C,10480867
YPL106C,YPL240C,19536198
YPL106C,YPL240C,15766533
YDL229W,YKL078W,19536198
YBR109C,YNL202W,11474067
YBR009C,YMR070W,22199229
YKL088W,YOR054C,16554755
YHR099W,YPL106C,19536198
YIR010W,YOR195W,21107429
YFR034C,YPR010C,14660704
YHR167W,YOR353C,14690591
YNL178W,YPL082C,16429126
YDL153C,YOL118C,11283351
YMR315W,YNL135C,11805837
YAL005C,YOR057W,19536198
YDR023W,YHL007C,16319894
YHR064C,YNL309W,19536198
YAR002W,YLR335W,16554755
YAR002W,YLR335W,15741174
YAR002W,YLR335W,18046405
YAR002W,YLR335W,16365162
YAR002W,YLR335W,11535617
YAR002W,YLR335W,11425876
YAR002W,YLR335W,17418788
YAR002W,YLR335W,11387327
YAR002W,YLR335W,16429126
YAR002C,YOL005C,18467557
YGL066W,YMR309C,21734642
YKL088W,YOR054C,14690591
YJL084C,YPL153C,16319894
YDR448W,YLR424W,18719252
YBR074W,YMR083W,11283351
YKL088W,YOR054C,18467557
YKL088W,YOR054C,18719252
YDR496C,YGL111W,16429126
YDR496C,YGL111W,18559667
YKL088W,YOR054C,20826334
YKL088W,YOR054C,14759368
YJL081C,YJR082C,16554755
YBR136W,YOR210W,16554755
YFR050C,YGR135W,16554755
YJR006W,YJR043C,16554755
YJR006W,YJR043C,9677406
YBR110W,YEL063C,16093310
YJR006W,YJR043C,9677405
YBR295W,YDL156W,22199229
YDL188C,YML109W,11805826
YDL188C,YML109W,16429126
YER017C,YPR024W,18843051
YEL030W,YGL097W,19536198
YHL002W,YPL038W,19841731
YKL142W,YOL059W,18719252
YGR251W,YNL186W,16554755
YNL052W,YPL216W,16554755
YJR006W,YJR043C,11568188
YER126C,YGL111W,19737519
YER126C,YGL111W,18559667
YBR069C,YGL051W,16093310
YDR335W,YGR009C,10688190
YJR006W,YJR043C,14594808
YJR006W,YJR043C,16949354
YLL024C,YOR374W,19536198
YBR084W,YNR051C,20508643
YJR006W,YJR043C,18635534
YFR004W,YHR179W,18757749
YFR004W,YHR179W,20170199
YAL005C,YBR288C,19536198
YBR173C,YOR157C,16554755
YBR173C,YOR157C,17911101
YER126C,YNR053C,11805826
YKL006C,YOR106W,11251068
YER021W,YNL227C,19536198
YFL002C,YPL050C,21825077
YER151C,YMR230W,20508643
YBL075C,YNL284C,19536198
YBR108W,YPL106C,19536198
YDL229W,YPL016W,19536198
YNL124W,YNL284C,14690591
YBR109C,YPL019C,17079729
YJR066W,YPR156C,17507646
YBR289W,YPL129W,18719252
YBR289W,YPL129W,8668146
YBR289W,YPL129W,20179968
YBR289W,YPL129W,12052880
YDR030C,YNL124W,11283351
YHR112C,YKL012W,16606443
YDR098C,YGL071W,17074835
YDR098C,YGL071W,16648636
YDR098C,YGL071W,18281282
YDR098C,YGL071W,10688190
YML064C,YPR182W,10688190
YAL005C,YOR028C,19536198
YAL005C,YDL087C,19536198
YER126C,YNR053C,16429126
YER126C,YNR053C,16861225
YDR463W,YJL156C,16778074
YBL075C,YKL011C,19536198
YFL007W,YLL024C,16429126
YFL007W,YLL024C,19536198
YER151C,YGL043W,20508643
YBR173C,YOR157C,17707236
YBR110W,YEL017C,16093310
YER006W,YOR272W,16429126
YER006W,YOR272W,12374754
YER025W,YPR041W,16554755
YBL039C,YPL106C,19536198
YER025W,YPR041W,11018020
YER025W,YPR041W,20485439
YDL229W,YMR093W,19536198
YJL115W,YLL002W,17690098
YNL044W,YNL209W,19536198
YER025W,YPR041W,14759368
YJL115W,YLL002W,17320445
YJL115W,YLL002W,18458063
YHL030W,YPR110C,11805837
YBR254C,YGR166W,16429126
YBR254C,YGR166W,20375281
YBR254C,YGR166W,11805826
YBR098W,YHR016C,11743162
YML103C,YPL169C,17922018
YDR186C,YGR024C,14690591
YDR315C,YPR088C,21765803
YLR268W,YPL094C,18719252
YER025W,YPR041W,16990799
YER025W,YPR041W,10075937
YHR203C,YNL207W,21835981
YEL030W,YIL035C,19536198
YHR203C,YNL207W,16429126
YER025W,YPR041W,21745818
YER025W,YPR041W,15838098
YOR319W,YPR015C,14690591
YBR274W,YDR224C,14660704
YCL052C,YJR010C,16093310
YBR009C,YDR227W,19217406
YBR009C,YDR227W,8647429
YBR009C,YDR227W,7867066
YLR315W,YPL018W,16554755
YBL052C,YOL012C,16239141
YCL059C,YDL148C,12150911
YDL136W,YOR290C,14660704
YBL092W,YGL099W,12374754
YAL005C,YGR234W,19536198
YGL207W,YMR186W,19536198
YCL059C,YDL148C,16429126
YCL059C,YDL148C,11805826
YER025W,YPR041W,16522633
YER151C,YNL178W,20508643
YBR048W,YCL059C,15094838
YJL124C,YOL016C,21460040
YCL028W,YHR041C,19026788
YKR063C,YPR181C,22083961
YML010W,YPL032C,12556496
YGR061C,YPL106C,19536198
YDL065C,YJL057C,21460040
YDR227W,YKL172W,21822217
YDL223C,YMR001C,19013276
YDL179W,YMR147W,11283351
YAL005C,YIR009W,19536198
YJL041W,YPL012W,14729571
YFR004W,YMR315W,20170199
YJL033W,YJL164C,16319894
YDR407C,YFL038C,20972447
YNL064C,YNL064C,18467557
YNL064C,YNL064C,18723025
YNL064C,YNL064C,15701512
YBR169C,YNL045W,19536198
YLL019C,YPL093W,20489023
YKL081W,YPL226W,11805826
YKL081W,YPL226W,16429126
YBR202W,YPR019W,17895243
YBR202W,YPR019W,18801730
YBR202W,YPR019W,19913425
YAL005C,YBR265W,19536198
YBR202W,YPR019W,15723534
YBR202W,YPR019W,18662997
YBR202W,YPR019W,19896182
YDR457W,YMR186W,16554755
YDR457W,YMR186W,19536198
YER154W,YKR085C,16601683
YDR457W,YMR186W,15766533
YIL076W,YNL055C,16554755
YGR238C,YOL069W,17634282
YMR109W,YNR059W,19841731
YNL209W,YOR128C,18762987
YLR263W,YLR288C,20534433
YFL038C,YPL240C,19536198
YHR119W,YJL014W,12096120
YKL191W,YMR214W,19536198
YBR160W,YML034W,14574415
YBL026W,YEL015W,10900456
YDL229W,YLR268W,19536198
YAL041W,YNL007C,11805826
YLR228C,YNL007C,19536198
YJR022W,YNL050C,10900456
YJR022W,YNL050C,9207794
YDR146C,YOL051W,11562354
YBR202W,YPR019W,12480933
YJL170C,YPL240C,15879519
YJL109C,YLR150W,16554755
YDR448W,YOR257W,14718168
YDR167W,YPL129W,12052880
YBR202W,YPR019W,11694596
YBR202W,YPR019W,19661920
YBR010W,YLL022C,16554755
YFR016C,YOR181W,21035341
YCL024W,YDL229W,19536198
YGR134W,YPL216W,16554755
YER025W,YLL045C,16429126
YDR143C,YLL026W,21211726
YDL229W,YIL026C,19536198
YDL229W,YEL053C,19536198
YBR009C,YML017W,22199229
YDR172W,YDR172W,18353968
YDR172W,YDR172W,21423195
YDR172W,YDR172W,19114662
YDR172W,YDR172W,21392508
YDR172W,YDR172W,20224794
YDR172W,YDR172W,19706519
YDR172W,YDR172W,18833196
YDR172W,YDR172W,17767153
YDR172W,YDR172W,15383837
YDR172W,YDR172W,21423194
YDR172W,YDR172W,21219467
YDR172W,YDR172W,20081853
YDR172W,YDR172W,17295405
YDR172W,YDR172W,22176525
YDR172W,YDR172W,14759368
YDR172W,YDR172W,19408895
YDR172W,YDR172W,18757753
YDR172W,YDR172W,20057357
YDR172W,YDR172W,17975557
YDR172W,YDR172W,20695483
YDR172W,YDR172W,19345193
YDR172W,YDR172W,19890987
YDR172W,YDR172W,18780782
YDR172W,YDR172W,18400756
YDR172W,YDR172W,16642217
YDR172W,YDR172W,18324784
YDR172W,YDR172W,21113168
YDR172W,YDR172W,18366654
YDL150W,YOR210W,16554755
YBL018C,YDL229W,19536198
YHR186C,YIR010W,21107429
YCL057W,YPL240C,19536198
YDL229W,YOR097C,19536198
YHR061C,YMR032W,11489916
YDL147W,YPR003C,16554755
YHL004W,YKR085C,12392552
YBL079W,YGL106W,16554755
YBR189W,YHL030W,21321079
YBR010W,YLL022C,22199229
YBR010W,YLL022C,18467557
YBR010W,YLL022C,20953179
YGR074W,YLR275W,16554755
YML016C,YPL004C,18467557
YBL031W,YGL061C,17634282
YBL039C,YNL007C,19536198
YEL030W,YNL088W,19536198
YGR234W,YNL209W,19536198
YDL215C,YGR104C,16554755
YHR064C,YNL233W,19536198
YAL005C,YDR443C,19536198
YMR186W,YOR003W,19536198
YML012W,YMR149W,18467557
YDL225W,YPR154W,19841731
YHR007C,YKL008C,18467557
YLL008W,YNL061W,11805826
YLL008W,YNL061W,16429126
YBR142W,YLL024C,19536198
YDR365C,YML105C,16554755
YDL229W,YGL219C,19536198
YHR007C,YKL008C,16093310
YBL016W,YER075C,10557209
YDR099W,YPL231W,21182200
YBL016W,YER075C,9224718
YBR126C,YFR004W,18757749
YBR126C,YFR004W,20170199
YDR328C,YOL133W,11283612
YDR328C,YOL133W,10385629
YDR328C,YOL133W,20581845
YDR328C,YOL133W,10213691
YBR245C,YPL082C,16429126
YBR245C,YPL082C,18596064
YBR185C,YCL032W,16554755
YBR245C,YPL082C,11805826
YOL133W,YOR326W,11805837
YBR283C,YKL154W,16093310
YBR068C,YDL192W,18467557
YJR136C,YPL106C,19536198
YDR190C,YGR091W,18268104
YDR363W,YPL031C,16319894
YER105C,YPL004C,18046405
YDR353W,YNL244C,11805837
YER012W,YIL075C,21878652
YER012W,YIL075C,11029046
YDR322W,YLR312W,16554755
YJL030W,YOR276W,14660704
YER012W,YIL075C,15242647
YHR200W,YLR372W,18757749
YGR252W,YNL192W,21734642
YLR312W,YMR024W,16554755
YDR116C,YNL185C,11805826
YDR418W,YGR285C,16429126
YJL111W,YMR223W,21734642
YAL010C,YPL235W,11805826
YNL125C,YPL076W,16093310
YGL008C,YHR030C,11805837
YLR058C,YOR081C,16554755
YDL051W,YMR022W,14690591
YDR320C,YJR092W,19536198
YOL091W,YPL240C,19536198
YAL005C,YKL092C,19536198
YMR072W,YNL037C,18477605
YHR014W,YPL204W,21460040
YOR210W,YPL129W,12052880
YGL161C,YOR089C,11943201
YAL011W,YBR231C,16554755
YER089C,YOR230W,16429126
YER064C,YKR038C,16554755
YIL071C,YPL240C,19536198
YOL133W,YPR019W,19913425
YBL075C,YER091C,19536198
YFL010C,YOR209C,16606443
YAL011W,YBR231C,14690608
YBL087C,YFR034C,14660704
YBL063W,YBR118W,16429126
YER177W,YIR010W,21107429
YDR135C,YJL165C,18667437
YNL002C,YNL175C,16429126
YFR014C,YNL186W,16319894
YCR057C,YDR324C,12150911
YNL147W,YPR178W,10900456
YNL147W,YPR178W,11805826
YIR038C,YJR073C,18719252
YGR208W,YJL014W,19536198
YNL147W,YPR178W,16429126
YCR057C,YDR324C,11805826
YCR057C,YDR324C,21724601
YMR022W,YOL129W,14690591
YBR070C,YBR243C,19129246
YBR070C,YBR243C,22061998
YJR032W,YLL024C,19536198
YBR267W,YLL024C,19536198
YIR010W,YMR146C,21107429
YBR181C,YNL207W,21835981
YKL173W,YNL064C,19536198
YCR057C,YDR324C,16429126
YML018C,YPL246C,18467557
YOR074C,YPL240C,19536198
YGR270W,YJL076W,19106085
YBL004W,YJR002W,15590835
YER125W,YNL117W,16606443
YGL190C,YMR304W,16554755
YKR048C,YOR276W,11805837
YDR171W,YOR272W,19536198
YBR119W,YDL014W,21558325
YAR018C,YHR064C,11805826
YMR186W,YPL106C,19536198
YLR192C,YPL106C,19536198
YKR081C,YLR075W,21926967
YDL229W,YNL299W,19536198
YAL034W,YLR052W,17634282
YML049C,YNR011C,20089683
YKL049C,YLR208W,21070971
YER043C,YIR005W,11805837
YBR194W,YER172C,21386897
YDL136W,YDR412W,20005841
YER069W,YHR027C,18757749
YDR335W,YNL209W,19536198
YDL153C,YGL198W,11283351
YLL036C,YOR308C,21614000
YLL036C,YOR308C,11804584
YBR011C,YHR030C,11805837
YBL003C,YMR091C,19106085
YBL016W,YPR086W,16319894
YJL052W,YML091C,16554755
YER100W,YER125W,16606443
YGL115W,YOR142W,16554755
YCL027W,YPR023C,19841731
YDR212W,YLL011W,11805837
YDR212W,YLL011W,19536198
YHR064C,YLR075W,16429126
YHR064C,YKR096W,19536198
YAL005C,YNR059W,19536198
YEL062W,YLR096W,20489023
YDR023W,YPL204W,11805837
YML110C,YNL209W,19536198
YDL235C,YKL161C,21118957
YDR449C,YLR222C,16554755
YDR449C,YLR222C,14759368
YDR449C,YLR222C,12150911
YGR234W,YKL049C,21070971
YGR109C,YOR368W,20489023
YGR130C,YGR177C,16554755
YNL182C,YPL031C,16319894
YDR399W,YNL124W,14690591
YBL079W,YBR118W,18046405
YKL012W,YNL007C,19536198
YDL229W,YDR181C,19536198
YLR291C,YOR081C,18467557
YJL179W,YLR079W,19536198
YJR056C,YNL189W,11283351
YKL058W,YMR005W,15132995
YJL167W,YJR140C,19416104
YDR482C,YLR147C,19789211
YFR004W,YLR175W,20170199
YJL164C,YML010W,20489023
YGR078C,YML065W,19536198
YER066W,YPL240C,19536198
YBR202W,YDL017W,10508166
YDR449C,YLR222C,16429126
YDL229W,YNL046W,19536198
YHR115C,YPR169W,14660704
YHR027C,YKL010C,10688918
YIL035C,YMR036C,18316413
YHR135C,YKL114C,16319894
YBR084W,YHR010W,16429126
YDR364C,YKL095W,11805826
YBR302C,YMR022W,14690591
YLR025W,YLR181C,16601096
YLR025W,YLR181C,15086794
YCR071C,YDR405W,16554755
YDL108W,YNL113W,21460040
YDR383C,YJL057C,21460040
YBR182C,YLR113W,15448699
YBR182C,YLR113W,12482976
YLL026W,YOR367W,19536198
YBR072W,YDR507C,12058072
YAL036C,YER151C,20508643
YAR071W,YDL229W,19536198
YAL011W,YOR127W,11087867
YBR072W,YFR031C,19536198
YDL229W,YOR155C,19536198
YEL042W,YPL106C,19536198
YDL064W,YPL161C,10688190
YDL229W,YJL006C,19536198
YPL078C,YPL078C,11823415
YEL039C,YOR117W,18757749
YLR229C,YPL115C,11046150
YLR229C,YPL115C,17914457
YLR229C,YPL115C,12455995
YDL025C,YDR510W,15590687
YBR196C,YLL024C,19536198
YML074C,YPL093W,12808088
YFL024C,YGL158W,20489023
YER159C,YFL016C,19536198
YDL229W,YFL002C,19536198
YDL229W,YOR185C,19536198
YLR291C,YPL070W,10688190
YLR291C,YPL070W,11283351
YLR291C,YPL070W,18719252
YCR008W,YDR364C,21460040
YLR455W,YMR290C,16554755
YDR418W,YOR293W,16554755
YGL150C,YNL064C,19536198
YBL075C,YHL011C,19536198
YDL229W,YJL011C,19536198
YNL075W,YNL132W,21724601
YHR121W,YLR032W,16554755
YLR191W,YNL025C,19841731
YDL229W,YGR261C,19536198
YMR322C,YNL124W,14690591
YBR010W,YGL172W,22199229
YAL005C,YNL308C,19536198
YDL168W,YPL106C,19536198
YKR029C,YMR273C,16429126
YKR029C,YMR273C,11805826
YJL019W,YPR113W,18719252
YCL024W,YLL024C,19536198
YFR043C,YLR248W,15341652
YGR024C,YPR130C,14690591
YOR206W,YPL093W,16429126
YOR206W,YPL093W,12808088
YBL004W,YGR128C,21724601
YGL130W,YMR309C,11805826
YGL130W,YMR309C,16429126
YDR172W,YPR154W,21777813
YDR128W,YLR216C,11805837
YNL161W,YOL070C,21460040
YNL064C,YOR243C,19536198
YOR080W,YPL106C,19536198
YDR028C,YER129W,21216941
YNL064C,YPL111W,19536198
YDR510W,YER116C,17728242
YDR510W,YER116C,17669696
YDR100W,YMR079W,18719252
YPL139C,YPL181W,16554755
YPL139C,YPL181W,11805837
YPL031C,YPL203W,16319894
YPL139C,YPL181W,16286008
YPL139C,YPL181W,16429126
YDR228C,YLR424W,14690591
YDR228C,YLR424W,10688190
YGR055W,YPL240C,15879519
YLR103C,YNL330C,11805826
YDR174W,YLL024C,19536198
YDL028C,YOL091W,17634282
YHR027C,YKL056C,18757749
YFR004W,YOL109W,18757749
YFR004W,YOL109W,20170199
YBR154C,YJR072C,21844196
YAL005C,YER168C,19536198
YDL229W,YJL157C,19536198
YML085C,YPR141C,16085496
YJR041C,YKR024C,17145778
YBL026W,YMR237W,10900456
YER093C,YPL106C,19536198
YHR026W,YLR372W,16093310
YDL229W,YIL063C,19536198
YHR089C,YKL014C,11805826
YDR150W,YNL271C,11266443
YBR189W,YBR194W,21386897
YBR118W,YDL236W,16554755
YDR206W,YLR175W,21558325
YBL026W,YCR077C,16554755
YBL026W,YCR077C,10900456
YBR164C,YDL229W,19536198
YDR328C,YHR021C,16432255
YEL030W,YPR135W,19536198
YGL008C,YMR086W,19269952
YDL220C,YPL235W,22100294
YDL143W,YDL195W,19536198
YDL126C,YGR270W,19106085
YHR203C,YKR063C,22083961
YDL229W,YKL216W,19536198
YBR072W,YGR192C,19536198
YLL024C,YPL069C,19536198
YDL229W,YNL121C,19536198
YBR034C,YNR052C,21464899
YBL026W,YCR077C,10747033
YBL026W,YCR077C,16429126
YBR010W,YLL008W,22199229
YGR285C,YHR052W,20368619
YGR172C,YLR078C,12657649
YMR022W,YOR392W,14690591
YBL003C,YGR270W,19106085
YBL003C,YGR270W,22199229
YFL016C,YKR016W,21944719
YMR060C,YMR203W,21680715
YMR060C,YMR203W,20026336
YBL026W,YCR077C,11805837
YDL115C,YJR045C,19536198
YCR030C,YOL016C,20489023
YCL055W,YDR118W,17634282
YBR069C,YHR064C,16554755
YDR432W,YHR197W,21852791
YJL011C,YJL011C,14759368
YLR277C,YOR250C,12853609
YLR277C,YOR250C,21993299
YFL013C,YFL013C,20190278
YBL075C,YPL042C,7877695
YLR330W,YOR299W,18719252
YLR330W,YOR299W,16498409
YLR330W,YOR299W,16429126
YLR330W,YOR299W,16855022
YHL007C,YMR199W,21945277
YDR432W,YOR204W,18077427
YDR432W,YOR204W,14769921
YFL039C,YGR229C,16362369
YJR097W,YNR003C,19536198
YCR086W,YCR086W,20723757
YAL005C,YBL009W,19536198
YCR086W,YCR086W,18719252
YCR086W,YCR086W,17634282
YKL203C,YNL207W,20489023
YER021W,YPR110C,11805837
YER112W,YGL180W,16319894
YDL003W,YLR008C,14517234
YDR335W,YGR119C,11387327
YBR017C,YOR176W,11805837
YJR045C,YNL078W,16429126
YGL111W,YMR049C,11805837
YGL111W,YMR049C,16429126
YGL111W,YMR049C,11805826
YGL111W,YMR049C,18559667
YER113C,YPL246C,18467557
YAL005C,YJR065C,19536198
YPL240C,YPR010C,19536198
YDR363W,YHR200W,16554755
YDR363W,YHR200W,15117943
YDR363W,YHR200W,15610744
YNL230C,YOR272W,11805837
YLR347C,YPL178W,16554755
YLR347C,YPL178W,14759368
YLR347C,YPL178W,21558325
YLR347C,YPL178W,11805826
YLR048W,YMR186W,19536198
YCR066W,YOR368W,18485869
YGR252W,YOR117W,21734642
YGL135W,YOR117W,18757749
YDR416W,YDR416W,11842115
YCR057C,YLR441C,12150911
YEL063C,YGR284C,16093310
YDL233W,YJR112W,17634282
YMR116C,YPL204W,16429126
YDR188W,YFL049W,19536198
YDL229W,YML061C,19536198
YGR055W,YGR130C,18467557
YDR227W,YNL189W,11805837
YDR092W,YMR140W,18467557
YDR092W,YMR140W,16554755
YDL192W,YNL064C,19536198
YGL179C,YPL139C,16319894
YDR405W,YKR006C,20404317
YER082C,YKL117W,21777812
YLR451W,YLR451W,16615914
YIL078W,YNL007C,19536198
YAR003W,YJL026W,11805837
YDR318W,YNL189W,11283351
YNL222W,YNL317W,16554755
YNL222W,YNL317W,12453421
YNL222W,YNL317W,12819204
YNL222W,YNL317W,12704082
YLR320W,YNL055C,16554755
YLR442C,YNL216W,7958893
YLR442C,YNL216W,21217703
YLR442C,YNL216W,12080091
YLR442C,YNL216W,11689698
YLR442C,YNL216W,9122169
YLR442C,YNL216W,10835378
YBR160W,YGR188C,21298086
YBR169C,YGR278W,19536198
YLR442C,YNL216W,18538788
YLR442C,YNL216W,8779721
YBR205W,YOL018C,16107716
YDR091C,YOR117W,18757749
YKL210W,YLL024C,19536198
YEL013W,YML121W,18467557
YOL005C,YPR133C,16554755
YER029C,YGR178C,21558325
YDL143W,YNL221C,19536198
YMR214W,YOR310C,19536198
YBR106W,YJL059W,16093310
YDR225W,YLR222C,11805837
YNL064C,YPL048W,19536198
YLL034C,YLR102C,14690591
YDL028C,YJR112W,20489023
YGR209C,YLR039C,16554755
YGR142W,YHR009C,21441304
YFL038C,YNL041C,18719252
YKR068C,YMR218C,11239471
YKR068C,YMR218C,10727015
YKR068C,YMR218C,16429126
YKR068C,YMR218C,11805826
YLR200W,YOR080W,19536198
YFL038C,YOR070C,9452439
YBR194W,YML010W,21386897
YER177W,YMR086W,16554755
YFL038C,YOR070C,16855591
YDL131W,YFL010C,16606443
YEL063C,YJL091C,16093310
YHR083W,YOL009C,21680715
YER174C,YOR244W,19303850
YML115C,YMR186W,19536198
YLL024C,YNL093W,19536198
YBL020W,YIR038C,18719252
YBR023C,YDL229W,19536198
YDR479C,YLL014W,18719252
YJL177W,YKR081C,21926967
YBR200W,YLR425W,19841731
YGR178C,YLR175W,21558325
YGL073W,YMR022W,14690591
YAL051W,YKL088W,14690591
YDR060W,YPR144C,12446671
YJL008C,YJR065C,19536198
YJL026W,YOR230W,16452505
YJL026W,YOR230W,16429126
YJL026W,YOR230W,16432237
YER151C,YNL209W,20508643
YDL229W,YHR088W,19536198
YFR013W,YKR001C,16429126
YGR091W,YKL173W,16554755
YLR150W,YOR257W,16554755
YMR146C,YOR361C,16554755
YMR146C,YOR361C,21280672
YMR146C,YOR361C,9660829
YMR146C,YOR361C,22090426
YDL229W,YGR140W,19536198
YER146W,YMR268C,10900456
YER146W,YMR268C,18971323
YER146W,YMR268C,11720284
YMR146C,YOR361C,16990799
YHR121W,YNL110C,16554755
YGR195W,YNL189W,11805826
YMR146C,YOR361C,11179233
YGR091W,YKL173W,16429126
YBR198C,YDR452W,21734642
YMR146C,YOR361C,18599441
YMR146C,YOR361C,9362495
YMR146C,YOR361C,14759368
YIL143C,YLR028C,18467557
YMR146C,YOR361C,16429126
YMR146C,YOR361C,16581774
YER151C,YPR181C,12778054
YER151C,YPR181C,20846524
YLR147C,YLR275W,16554755
YLR167W,YPR152C,21386897
YOR273C,YPL004C,18467557
YFR028C,YGL195W,21127052
YDL229W,YMR190C,19536198
YGR135W,YLL039C,20516216
YGR135W,YLL039C,15699485
YGR135W,YLL039C,20694217
YNL002C,YNL186W,18467557
YJL138C,YKL095W,11805837
YLR008C,YML054C,21546912
YDL143W,YFR031C,19536198
YMR146C,YOR361C,9671501
YMR146C,YOR361C,8628297
YGR091W,YKL173W,11805826
YMR146C,YOR361C,12651896
YIL091C,YKL117W,21777812
YDR101C,YOR098C,18077551
YDR101C,YOR098C,17803941
YMR146C,YOR361C,11805826
YOR212W,YPR165W,12660244
YBR055C,YDR381W,17922018
YDR060W,YPL240C,19536198
YGL086W,YLL026W,19536198
YIL094C,YNL313C,11805826
YBR010W,YLR321C,21749977
YCL010C,YDR348C,21734642
YGR240C,YHR196W,11805837
YGL211W,YHR111W,19145231
YDL140C,YOL072W,18923079
YBR160W,YFR004W,20170199
YMR022W,YPL007C,14690591
YBR010W,YKL172W,22199229
YAL005C,YBR160W,19536198
YGR281W,YLR441C,16429126
YNL055C,YPR164W,16554755
YGR094W,YLL024C,19536198
YDL229W,YGL045W,19536198
YGR082W,YMR186W,19536198
YHR025W,YOR117W,18757749
YDR385W,YJL074C,16429126
YGR136W,YLR191W,19841731
YBR058C,YOL086C,11805826
YEL020W,YEL020W,18022191
YEL020W,YEL020W,12138093
YFR021W,YML059C,11536337
YDL076C,YER088C,11805826
YDL097C,YOR261C,16554755
YDR071C,YPL106C,19536198
YAL005C,YOR198C,19536198
YAL024C,YDL171C,14660704
YBR081C,YKL007W,21734642
YGL115W,YOR018W,11805837
YGL115W,YOR018W,17949685
YLL024C,YNL035C,19536198
YGL051W,YNL101W,16093310
YGL011C,YKR070W,16554755
YBR169C,YMR092C,19536198
YDL207W,YJL041W,18046405
YBR143C,YDR091C,20062004
YBR143C,YDR091C,22143755
YFL024C,YLR223C,20059977
YDL097C,YOR261C,18467557
YDL097C,YOR261C,15102831
YDL097C,YOR261C,11805826
YDL097C,YOR261C,16429126
YDL097C,YOR261C,9741626
YLL024C,YPL240C,15766533
YLL024C,YPL240C,19536198
YBL044W,YLR074C,11805837
YAL011W,YIR018W,11087867
YBR009C,YPR046W,16554755
YKR016W,YML078W,21944719
YAL005C,YLR430W,19536198
YJR072C,YJR132W,14690591
YNL007C,YNL250W,19536198
YGL106W,YPR171W,16554755
YHL034C,YIL129C,16429126
YLR455W,YOR294W,16554755
YNL002C,YOL012C,19106085
YDL156W,YOL123W,22199229
YDR026C,YJL148W,16554755
YBR024W,YBR024W,12125048
