PROTEIN_U,PROTEIN_V,PUBMED
YDR293C,YMR186W,19536198
YHL030W,YHR203C,21321079
YDL229W,YDR026C,19536198
YDR473C,YLL026W,19536198
YDL002C,YFL033C,16319894
YHL003C,YHR122W,14690591
YEL015W,YJL179W,19536198
YIL034C,YIL034C,18467557
YDR301W,YGR156W,16554755
YDR301W,YGR156W,11805826
YDR301W,YGR156W,12819204
YDL088C,YML103C,18046405
YDR301W,YGR156W,16429126
YER006W,YLR449W,16429126
YDL229W,YPL077C,19536198
YLR029C,YNL064C,19536198
YLR291C,YMR004W,18719252
YKL101W,YPR072W,16319894
YJL106W,YMR001C,19013276
YDR188W,YJL014W,18511909
YDR188W,YJL014W,16762366
YML058W,YPL115C,16554755
YDR188W,YJL014W,20600117
YBR072W,YKL060C,19536198
YCR030C,YOL054W,11805837
YEL030W,YGR130C,19536198
YJR064W,YNR038W,19536198
YAL029C,YOR181W,11805837
YBR236C,YDR533C,19536198
YMR032W,YOR181W,19841731
YCL059C,YER127W,11805826
YKL145W,YOL038W,9799224
YKL145W,YOL038W,16429126
YAL005C,YOR340C,19536198
YGL095C,YGL203C,18467557
YDR458C,YNL189W,16929305
YHL031C,YOR036W,10591633
YLR113W,YOR198C,20489023
YHR135C,YLR134W,11805837
YMR032W,YOR181W,11743162
YBR048W,YNL209W,19536198
YBR200W,YPR165W,16854988
YCR012W,YNL006W,11805826
YMR032W,YOR181W,19272406
YLL024C,YPR086W,19536198
YBL024W,YER151C,20508643
YJL014W,YOR230W,11805837
YBR039W,YGR104C,19057509
YDL155W,YDR146C,15200949
YBR034C,YGR159C,12756332
YDR432W,YKL139W,18077427
YBR109C,YKL129C,16554755
YDR381W,YLR435W,16554755
YFL016C,YMR176W,19536198
YAL034W,YPL018W,14633972
YAL034W,YPL018W,18286174
YAL034W,YPL018W,21075115
YMR192W,YPR154W,19841731
YJR132W,YOR326W,16429126
YJR132W,YOR326W,11805826
YDR320C,YDR324C,19536198
YML010W,YMR061W,12556496
YER151C,YOR184W,20508643
YER151C,YML098W,15448131
YKL089W,YPR018W,17634282
YBR253W,YHL033C,16429126
YDR145W,YNL272C,16429126
YGR104C,YOL051W,16554755
YDL229W,YHL001W,19536198
YKL145W,YMR264W,17264153
YMR192W,YPR154W,11743162
YJL061W,YLR018C,18046405
YDR432W,YKL139W,11805837
YAL005C,YPR144C,19536198
YPL106C,YPR018W,19536198
YIR010W,YKR001C,21107429
YDR432W,YKL139W,20489023
YGR104C,YOL051W,17192271
YGR104C,YOL051W,11383511
YGR104C,YOL051W,19057509
YGR104C,YOL051W,18070925
YDR023W,YHR027C,18757749
Q0275,YML129C,20807763
Q0275,YML129C,17882259
YGR104C,YOL051W,20123732
YHL001W,YPL106C,19536198
YGR104C,YOL051W,21742760
YGR104C,YOL051W,19940160
YHR107C,YKL056C,11805837
YGR104C,YOL051W,16962561
YOR259C,YOR261C,16554755
YHR025W,YPL106C,19536198
YBL003C,YBR009C,16554755
YBR114W,YDR224C,22199229
YDR129C,YEL037C,16554755
YLR430W,YMR125W,16429126
YLR430W,YMR125W,11805826
YDR172W,YER048C,19536198
YLR009W,YOR252W,12808088
YGR040W,YHR200W,11805837
YGR262C,YLR216C,11805837
YDR227W,YDR227W,14636601
YDR227W,YDR227W,16717101
YDR227W,YDR227W,1946372
YDR227W,YDR227W,21822217
YDR227W,YDR227W,10757754
YDR227W,YDR227W,19217406
YAL005C,YLR119W,19536198
YHR196W,YMR229C,16429126
YHR196W,YMR229C,12150911
YPL018W,YPL233W,14690591
YPL018W,YPL233W,17634282
YJL122W,YLR074C,11805837
YMR322C,YPL280W,18719252
YGL180W,YJR092W,16319894
YBL003C,YBR009C,19782029
YGL022W,YML019W,12805367
YGL022W,YML019W,16096345
YBL003C,YBR009C,16429126
YBL003C,YBR009C,22199229
YBR160W,YMR190C,16319894
YBL051C,YJL138C,11805826
YJR101W,YPL013C,16429126
YBL003C,YBR009C,19106085
YPL124W,YPL124W,11087867
YPL124W,YPL124W,10654940
YAL005C,YER022W,19536198
YJR010C,YPL076W,16093310
YMR022W,YPL203W,14690591
YKL188C,YPL147W,8876235
YPL124W,YPL124W,18719252
YDL229W,YEL058W,19536198
YNL124W,YOR025W,14690591
YPL124W,YPL124W,18850724
YKL003C,YOL133W,14690591
YDL229W,YIL047C,19536198
YBL075C,YBR079C,19536198
YMR235C,YOR112W,22008473
YDL229W,YPL082C,19536198
YGL092W,YLR347C,17418788
YGL092W,YLR347C,8849456
YDL092W,YPL243W,16554755
YDL092W,YPL243W,16429126
YDL130W,YKL002W,11283351
YER043C,YFR004W,16284124
YER043C,YFR004W,18757749
YER043C,YFR004W,20170199
YAL005C,YER026C,19536198
YDL028C,YNL116W,16319894
YCR063W,YFR031C,15303280
YJL124C,YOR109W,10900456
YGL237C,YOL139C,11805837
YDR214W,YDR385W,16429126
YGR252W,YOR151C,21734642
YBR245C,YOR304W,16554755
YBR245C,YOR304W,19273607
YBR245C,YOR304W,11805837
YLR398C,YPL106C,19536198
YMR049C,YMR093W,11805837
YLL036C,YLR016C,11804584
YBR290W,YDR297W,16093310
YDR320C,YIR042C,19536198
YMR109W,YOR047C,19841731
YAL005C,YML125C,19536198
YDL058W,YNL227C,19536198
YAL016W,YJL057C,21460040
YBL085W,YDL150W,14737190
YLR438C,YMR080C,19740761
YCR071C,YPL173W,16554755
YDL146W,YKL070W,10688190
YDL015C,YDL232W,16093310
YCR060W,YMR309C,16554755
YML032C,YPR161C,21075850
YER159C,YNL064C,19536198
YER112W,YNL016W,18467557
YLR263W,YPL194W,20534433
YLR313C,YNL209W,19536198
YNL064C,YOR209C,19536198
YDL058W,YJL179W,19536198
YBR261C,YDR320C,19536198
YLR166C,YPL053C,16624861
YDR176W,YLR423C,11283351
YAR042W,YBR081C,21734642
YML012W,YMR123W,18467557
YDR170C,YHR020W,16429126
YDR170C,YHR020W,11805826
YDL229W,YHL032C,19536198
YHR186C,YNL014W,22043304
YBL016W,YJL076W,20489023
YDR129C,YLR330W,16554755
YHL042W,YJR117W,16093310
YBR118W,YLR090W,19536198
YOL027C,YPR166C,16476776
YDR145W,YML098W,15448131
YDR145W,YML098W,21734642
YDR145W,YML098W,12052880
YDR145W,YML098W,11805826
YER148W,YGR104C,16964259
YER148W,YGR104C,11226276
YHR148W,YOR310C,12068309
YHR148W,YOR310C,21558325
YBR103W,YDR155C,16554755
YBR042C,YER081W,11283351
YBR103W,YDR155C,11711434
YBR103W,YDR155C,15643056
YLR018C,YPL169C,17922018
YDL229W,YNL139C,19536198
YBR198C,YDR523C,21734642
YIL047C,YLR090W,19536198
YLR209C,YPL240C,19536198
YGL190C,YGR240C,11805826
YAR019C,YNL209W,19536198
YMR214W,YNL301C,19536198
YBR103W,YDR155C,16429126
YHR169W,YLR153C,16429126
YBR103W,YDR155C,11805826
YFL016C,YPR031W,19536198
YDL229W,YJR007W,19536198
YBR281C,YNL191W,17179087
YBR281C,YNL191W,11283351
YLR370C,YMR109W,18467557
YLR370C,YMR109W,12429847
YAL007C,YML012W,16554755
YGR162W,YLR362W,20489023
YFL033C,YPL031C,11805837
YFL033C,YPL031C,16308562
YBR281C,YNL191W,20826334
YHR197W,YKL006W,19737519
YDL013W,YER116C,16554755
YGR065C,YGR130C,18467557
YDL013W,YER116C,11139495
YDL013W,YER116C,20516210
YAL007C,YML012W,11805826
YIL105C,YKL051W,18467557
YDL013W,YER116C,18032921
YDL013W,YER116C,17669696
YGR229C,YLR332W,18467557
YDR216W,YJL179W,19536198
YJL194W,YLR191W,19841731
YCR066W,YLR032W,18342608
YCR066W,YLR032W,10880451
YDL013W,YER116C,17020915
YDL013W,YER116C,10688190
YCR066W,YLR032W,16224103
YBL024W,YNR051C,20508643
YIL076W,YNR051C,20508643
YNL002C,YNR051C,20508643
YAL007C,YML012W,16429126
YLL024C,YLR177W,19536198
YFL002C,YML085C,21825077
YFR014C,YLR102C,16319894
YDL165W,YOR069W,14690591
YDR225W,YGR275W,14660704
YDL013W,YER116C,17728242
YDL111C,YNR024W,18591258
YDL111C,YNR024W,16554755
YNL209W,YOL004W,19536198
YDR308C,YGL158W,20489023
YDL212W,YMR149W,16093310
YDL212W,YMR149W,18467557
YFR017C,YNL209W,19536198
YBR009C,YPR169W,22199229
YFR024C,YKL214C,14737190
YDL229W,YEL060C,19536198
YEL041W,YJR049C,11283351
YKL088W,YPL003W,14690591
YDL013W,YER116C,20388728
YGR284C,YLL023C,16093310
YER099C,YHR030C,15470112
YGR285C,YNL317W,19536198
YBR086C,YHR135C,16319894
YLR259C,YMR236W,21734642
YNR053C,YPL198W,16429126
YBR198C,YPL254W,16888622
YBR198C,YPL254W,16554755
YBR119W,YDR432W,21558325
YBR119W,YDR432W,19061647
YAR031W,YGL053W,12925749
YDL229W,YOR352W,19536198
YDR159W,YPL178W,17922018
YLR109W,YOL059W,16554755
YKR024C,YPL106C,19536198
YBR009C,YKR048C,12928440
YDL229W,YFR004W,19536198
YDL229W,YFR004W,20170199
YDL229W,YFR004W,16284124
YDL229W,YFR004W,18757749
YBR160W,YJR141W,16319894
YJL218W,YPL106C,19536198
YDR023W,YOL123W,11805826
YBR198C,YPL254W,21734642
YBR198C,YPL254W,12052880
YBR198C,YPL254W,16429126
YGL105W,YJL187C,16319894
YER161C,YNL189W,16554755
YBR198C,YPL254W,11585915
YDR348C,YER125W,20489023
YDL229W,YLL032C,19536198
YML129C,YOR065W,17882259
YBR162W,YMR022W,14690591
YBR072W,YJR043C,16554755
YBR072W,YJR043C,19536198
YFL016C,YIR010W,21107429
YER161C,YNL189W,11805837
YGL139W,YPL106C,19536198
YAL005C,YPL026C,19536198
YLR166C,YLR259C,16624861
YBL105C,YGR078C,19536198
YGR086C,YOL100W,21118957
YGR086C,YOL100W,11805837
YDR158W,YNL209W,19536198
YAL005C,YHR011W,19536198
YGR086C,YOL100W,15016821
YAL005C,YHR163W,19536198
YDL229W,YJR142W,19536198
YDR142C,YDR188W,11805837
YDR346C,YGL180W,16319894
YBR085W,YML058W,11805837
YEL051W,YJL151C,18467557
YJL060W,YJL060W,18205391
YLR303W,YNL189W,10688190
YGR120C,YLR423C,20065092
YGR120C,YLR423C,10688190
YGR120C,YLR423C,11283351
YAL002W,YNL209W,19536198
YDL229W,YJL111W,19536198
YAL005C,YGL003C,19536198
