ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-352N|refseq:NP_116694|uniprotkb:P14724	DIP-25N|refseq:NP_012903|uniprotkb:P09798	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0029(cosedimentation through density gradient)|MI:0676(tandem affinity purification)|MI:0096(pull down)|MI:0676(tandem affinity purification)|MI:0096(pull down)	-	pubmed:9469814|pubmed:DIP-498S|pubmed:8895471|pubmed:DIP-435S|pubmed:8895471|pubmed:DIP-435S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-134E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-970N|refseq:NP_014227|uniprotkb:P53886	DIP-970N|refseq:NP_014227|uniprotkb:P53886	-	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:21186364|pubmed:DIP-14614S|pubmed:8895471|pubmed:DIP-435S|pubmed:21186364|pubmed:DIP-14614S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-135E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-589N|refseq:NP_012036|uniprotkb:P16522	DIP-25N|refseq:NP_012903|uniprotkb:P09798	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:9469814|pubmed:DIP-498S|pubmed:7925276|pubmed:DIP-246S|pubmed:8895471|pubmed:DIP-435S|pubmed:7925276|pubmed:DIP-246S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-136E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-796N|refseq:NP_009469|uniprotkb:P38042	DIP-25N|refseq:NP_012903|uniprotkb:P09798	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0096(pull down)|MI:0096(pull down)|MI:0676(tandem affinity purification)	-	pubmed:9469814|pubmed:DIP-498S|pubmed:7925276|pubmed:DIP-246S|pubmed:7925276|pubmed:DIP-246S|pubmed:7925276|pubmed:DIP-246S|pubmed:8895471|pubmed:DIP-435S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21186364|pubmed:DIP-14614S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S|pubmed:21107322|pubmed:DIP-14770S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-138E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-589N|refseq:NP_012036|uniprotkb:P16522	DIP-589N|refseq:NP_012036|uniprotkb:P16522	-	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)	-	pubmed:7925276|pubmed:DIP-246S|pubmed:7925276|pubmed:DIP-246S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-139E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-589N|refseq:NP_012036|uniprotkb:P16522	DIP-796N|refseq:NP_009469|uniprotkb:P38042	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pubmed:7925276|pubmed:DIP-246S|pubmed:7925276|pubmed:DIP-246S|pubmed:8895471|pubmed:DIP-435S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-140E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-542N|refseq:NP_011014|uniprotkb:P00899	DIP-543N|refseq:NP_012711|uniprotkb:P00937	 -	-	-	-	MI:0401(biochemical)|MI:0676(tandem affinity purification)	-	pubmed:3881257|pubmed:DIP-1046S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-142E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1024N|refseq:NP_014947|uniprotkb:P07258	DIP-1023N|refseq:NP_012643|uniprotkb:P03965	 -	-	-	-	MI:0401(biochemical)	-	pubmed:206652|pubmed:DIP-676S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-143E	dip-quality-status:core	dip:0002(small scale)		-
DIP-811N|refseq:NP_013605|uniprotkb:Q04199	DIP-338N|refseq:NP_009754|uniprotkb:P13712	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:8743889|pubmed:DIP-218S|pubmed:21256037|pubmed:DIP-14675S|pubmed:21256037|pubmed:DIP-14675S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-144E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-923N|refseq:NP_015343|uniprotkb:Q12495	DIP-338N|refseq:NP_009754|uniprotkb:P13712	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0398(two hybrid pooling approach)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:11731480|pubmed:DIP-2153S|pubmed:8743889|pubmed:DIP-218S|pubmed:11283351|pubmed:DIP-1102S|pubmed:10688190|pubmed:DIP-513S|pubmed:11805837|pubmed:DIP-1767S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-145E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
