ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-1470N|refseq:NP_014040|uniprotkb:P32497	DIP-2519N|refseq:NP_015006|uniprotkb:P06103	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:18599441|pubmed:DIP-11731S|pubmed:18599441|pubmed:DIP-11731S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-16085E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0005(high throughput)		-
DIP-2564N|refseq:NP_013140|uniprotkb:P40395	DIP-2519N|refseq:NP_015006|uniprotkb:P06103	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16086E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2519N|refseq:NP_015006|uniprotkb:P06103	DIP-1471N|refseq:NP_014155|uniprotkb:P32911	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16087E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2303N|refseq:NP_015366|uniprotkb:P38431	DIP-2519N|refseq:NP_015006|uniprotkb:P06103	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:18599441|pubmed:DIP-11731S|pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-16088E	dip-quality-status:core	dip:0004(small scale)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-1286N|refseq:NP_011628|uniprotkb:P53267	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16089E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4771N|refseq:NP_013378|uniprotkb:Q06218	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16090E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5224N|refseq:NP_012818|uniprotkb:P14742	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16091E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2357N|refseq:NP_013451|uniprotkb:Q06142	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16092E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1533N|refseq:NP_014039|uniprotkb:P32337	DIP-6381N|refseq:NP_011318|uniprotkb:P53094	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16094E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1533N|refseq:NP_014039|uniprotkb:P32337	DIP-2448N|refseq:NP_015018|uniprotkb:P32336	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16095E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1533N|refseq:NP_014039|uniprotkb:P32337	DIP-1587N|refseq:NP_010682|uniprotkb:P33298	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16102E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1533N|refseq:NP_014039|uniprotkb:P32337	DIP-1590N|refseq:NP_014760|uniprotkb:P33297	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16103E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2810N|refseq:NP_011504|uniprotkb:P21243	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16104E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-1533N|refseq:NP_014039|uniprotkb:P32337	DIP-99N|refseq:NP_013079|uniprotkb:P23201	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16105E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4041N|refseq:NP_015305|uniprotkb:Q02724	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16107E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1533N|refseq:NP_014039|uniprotkb:P32337	DIP-4723N|refseq:NP_011595|uniprotkb:P53251	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16108E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4402N|refseq:NP_011672|uniprotkb:P39927	DIP-2469N|refseq:NP_009356|uniprotkb:Q01329	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16115E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3944N|refseq:NP_009497|uniprotkb:P34221	DIP-6612N|refseq:NP_009806|uniprotkb:P38333	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16120E	dip-quality-status:	dip:0005(high throughput)		-
DIP-157N|refseq:NP_015120|uniprotkb:P29295	DIP-3944N|refseq:NP_009497|uniprotkb:P34221	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16121E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1505N|refseq:NP_011756|uniprotkb:P16861	DIP-3944N|refseq:NP_009497|uniprotkb:P34221	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16122E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3944N|refseq:NP_009497|uniprotkb:P34221	DIP-2419N|refseq:NP_014149|uniprotkb:P12753	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16123E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5480N|refseq:NP_014382|uniprotkb:P32588	DIP-2373N|refseq:NP_013797|uniprotkb:P30771	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16131E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5480N|refseq:NP_014382|uniprotkb:P32588	DIP-4434N|refseq:NP_013844|uniprotkb:P34160	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16138E	dip-quality-status:	dip:0005(high throughput)		-
DIP-985N|refseq:NP_011678|uniprotkb:P39935	DIP-5480N|refseq:NP_014382|uniprotkb:P32588	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16140E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-2976N|refseq:NP_013589|uniprotkb:Q03735	DIP-5480N|refseq:NP_014382|uniprotkb:P32588	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16142E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4203N|refseq:NP_013297|uniprotkb:P21304	DIP-310N|refseq:NP_116614|uniprotkb:P60010	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16144E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4777N|refseq:NP_012044|uniprotkb:P00925	DIP-4203N|refseq:NP_013297|uniprotkb:P21304	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16145E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4203N|refseq:NP_013297|uniprotkb:P21304	DIP-3999N|refseq:NP_015199|uniprotkb:Q02931	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16147E	dip-quality-status:	dip:0005(high throughput)		-
DIP-6612N|refseq:NP_009806|uniprotkb:P38333	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16160E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1868N|refseq:NP_009984|uniprotkb:P25635	DIP-4515N|refseq:NP_013576|uniprotkb:Q03103	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16161E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1807N|refseq:NP_010068|uniprotkb:Q07623	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16162E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1868N|refseq:NP_009984|uniprotkb:P25635	DIP-418N|refseq:NP_009563|uniprotkb:P02309	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16164E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1533N|refseq:NP_014039|uniprotkb:P32337	DIP-1526N|refseq:NP_015007|uniprotkb:P21242	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16098E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-1533N|refseq:NP_014039|uniprotkb:P32337	DIP-2822N|refseq:NP_013618|uniprotkb:P23639	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16101E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-5337N|refseq:NP_014041|uniprotkb:Q04867	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16109E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1533N|refseq:NP_014039|uniprotkb:P32337	DIP-6497N|refseq:NP_015313|uniprotkb:Q12754	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16110E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1791N|refseq:NP_010669|uniprotkb:Q12159	DIP-1533N|refseq:NP_014039|uniprotkb:P32337	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)	-	pubmed:11390651|pubmed:DIP-1871S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-16111E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-1336N|refseq:NP_011059|uniprotkb:P32598	DIP-2469N|refseq:NP_009356|uniprotkb:Q01329	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16112E	dip-quality-status:	dip:0005(high throughput)		-
DIP-871N|refseq:NP_010481|uniprotkb:P42073	DIP-2469N|refseq:NP_009356|uniprotkb:Q01329	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:24413056|pubmed:DIP-16535S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-16113E	dip-quality-status:core	dip:0005(high throughput)|dip:0004(small scale)|dip:0005(high throughput)		-
DIP-6700N|refseq:NP_014177|uniprotkb:P53538	DIP-2469N|refseq:NP_009356|uniprotkb:Q01329	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16114E	dip-quality-status:	dip:0005(high throughput)		-
DIP-6294N|refseq:NP_010223|uniprotkb:Q07381	DIP-3944N|refseq:NP_009497|uniprotkb:P34221	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16125E	dip-quality-status:	dip:0005(high throughput)		-
DIP-6464N|refseq:NP_010720|uniprotkb:Q01560	DIP-5480N|refseq:NP_014382|uniprotkb:P32588	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16132E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-5480N|refseq:NP_014382|uniprotkb:P32588	DIP-6778N|refseq:NP_014148|uniprotkb:P53617	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16133E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5480N|refseq:NP_014382|uniprotkb:P32588	DIP-5159N|refseq:NP_010114|uniprotkb:P32770	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16134E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1150N|refseq:NP_014933|uniprotkb:P22082	DIP-5480N|refseq:NP_014382|uniprotkb:P32588	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16137E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5480N|refseq:NP_014382|uniprotkb:P32588	DIP-330N|refseq:NP_011466|uniprotkb:P39936	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16141E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-5344N|refseq:NP_015112|uniprotkb:Q12211	DIP-5304N|refseq:NP_011604|uniprotkb:P53254	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S|pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-16143E	dip-quality-status:	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-4203N|refseq:NP_013297|uniprotkb:P21304	DIP-909N|refseq:NP_013554|uniprotkb:Q06205	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16146E	dip-quality-status:	dip:0005(high throughput)		-
DIP-6314N|refseq:NP_010859|uniprotkb:P39985	DIP-4203N|refseq:NP_013297|uniprotkb:P21304	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16148E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2982N|refseq:NP_116647|uniprotkb:P32908	DIP-4203N|refseq:NP_013297|uniprotkb:P21304	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16149E	dip-quality-status:	dip:0005(high throughput)		-
DIP-3972N|refseq:NP_015117|uniprotkb:Q08960	DIP-4203N|refseq:NP_013297|uniprotkb:P21304	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16150E	dip-quality-status:	dip:0005(high throughput)		-
DIP-6727N|refseq:NP_014029|uniprotkb:P04046	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16151E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1411N|refseq:NP_010585|uniprotkb:Q06631	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16152E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1868N|refseq:NP_009984|uniprotkb:P25635	DIP-6562N|refseq:NP_015107|uniprotkb:Q08965	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16153E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1392N|refseq:NP_014721|uniprotkb:Q08492	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16154E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4472N|refseq:NP_013276|uniprotkb:P33322	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16155E	dip-quality-status:	dip:0005(high throughput)		-
DIP-5628N|refseq:NP_012039|uniprotkb:P38719	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16156E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-6494N|refseq:NP_013230|uniprotkb:Q12220	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16157E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-6722N|refseq:NP_013847|uniprotkb:Q04217	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16158E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-6819N|refseq:NP_012501|uniprotkb:P20448	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16163E	dip-quality-status:core	dip:0005(high throughput)		-
DIP-6377N|refseq:NP_009552|uniprotkb:P04912	DIP-1868N|refseq:NP_009984|uniprotkb:P25635	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16165E	dip-quality-status:	dip:0005(high throughput)		-
DIP-4309N|refseq:NP_011708|uniprotkb:P00359	DIP-697N|refseq:NP_009672|uniprotkb:P31244	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16205E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2469N|refseq:NP_009356|uniprotkb:Q01329	DIP-1488N|refseq:NP_013777|uniprotkb:P25298	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16298E	dip-quality-status:	dip:0005(high throughput)		-
DIP-2336N|refseq:NP_009459|uniprotkb:P25046	DIP-2093N|refseq:NP_011925|uniprotkb:P38782	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16312E	dip-quality-status:	dip:0005(high throughput)		-
DIP-1435N|refseq:NP_014506|uniprotkb:Q08278	DIP-2336N|refseq:NP_009459|uniprotkb:P25046	 -	-	-	-	MI:0676(tandem affinity purification)	-	pubmed:11805826|pubmed:DIP-1768S	taxid:4932(Saccharomyces cerevisiae)	taxid:4932(Saccharomyces cerevisiae)	MI:0915(physical association)	MI:0465(dip)	DIP-16313E	dip-quality-status:	dip:0005(high throughput)		-
