METHOD,ITER,LOG_LOSS,BRIER_SCORE,PR_AUC
TOPO,3,0.8758822008952452,0.027265881696249664,0.17276437683680504
TOPO_L2,3,0.9192592243043347,0.03111014284252833,0.06518294776136649
STRING,3,1.0040221819874988,0.27622115746544473,0.31719686717247586
CO_OCCUR,3,0.3754469638325159,0.027052595609254146,0.16951362709522927
REL,3,0.7689357347588716,0.0358350245120971,0.16077772918631714
CO_EXP,3,0.7276087097262532,0.17963459271269855,0.05748221626295682
GO_CC,3,0.23163514512703517,0.05536831869751691,0.8109672511594359
GO_BP,3,0.4355950866082953,0.0850692615217661,0.17901459335827208
GO_MF,3,1.3233360116704647,0.05713960810022402,0.5167086738785963
ALL,3,0.1645211126689123,0.035057771914167826,0.6703418815599973
GO_SS,3,0.18923821414899475,0.04661088917265237,0.6937812112597996
TOPOS,3,0.7399059751816462,0.0271107561702582,0.1635578327092861
ASSOC,3,0.2292677975656642,0.061479644675242126,0.21283716352866472
TOPO_GO,3,0.14449321235395657,0.031296035218085674,0.7182613087248644
TOPO_CO_EXP,3,0.38157471978298335,0.05894897644848023,0.09983053852168801
TOPO_GO_CO_EXP,3,0.17889189485493584,0.04125207794590614,0.6956322694802677
UNWEIGHTED,3,1.934529741243216,0.053671855079688406,0.1702959754440658
SWC,4,0.14935231553965936,0.024401940972011985,0.4017947923930144
XGW,4,0.045480929808961214,0.01194106517629606,0.743324830548286
TOPO,4,0.8651308002713965,0.02695870405112152,0.16942450426604705
TOPO_L2,4,0.9122273870978131,0.03086516317927899,0.06052597392049882
STRING,4,1.004908127110915,0.27633654774171823,0.31282577361083186
CO_OCCUR,4,0.36868677905397834,0.0267608194546925,0.16423537990503823
REL,4,0.768781331144412,0.03580485294773032,0.1538739524642469
CO_EXP,4,0.7250354297791237,0.17958503732627143,0.05688018083180333
GO_CC,4,0.23151004320952598,0.0553356269413028,0.8134028540873632
GO_BP,4,0.4343427794386467,0.08505039407497503,0.1749628573917557
GO_MF,4,1.3100950082661484,0.056816128471013465,0.5219187226981488
ALL,4,0.16428171115855675,0.034961924865774166,0.6651199650214275
GO_SS,4,0.18895627772226928,0.046522116427185,0.6972270782095362
