Complex,Complex Size,Leiden Jaccard,Leiden N_shared,Leiden Best Comm Size,Louvain Jaccard,Louvain N_shared,Louvain Best Comm Size,Label Propagation Jaccard,Label Propagation N_shared,Label Propagation Best Comm Size,SBM (Spectral proxy) Jaccard,SBM (Spectral proxy) N_shared,SBM (Spectral proxy) Best Comm Size,Clique Percolation Jaccard,Clique Percolation N_shared,Clique Percolation Best Comm Size,Consensus Jaccard,Consensus N_shared,Consensus Best Comm Size,MCL (XGW baseline) Jaccard,MCL (XGW baseline) N_shared,MCL (XGW baseline) Best Comm Size
"1,3-beta-glucan synthase complex (Fks1p/Rho1p)",2,0.0043,2,467,0.0192,1,51,0.0005,2,3840,0.0004,2,4540,0.6667,2,3,0.0029,2,690,0.0,0,0
"1,3-beta-glucan synthase complex (Gsc2p/Smk1p)",2,0.0021,1,467,0.0022,1,451,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0014,1,690,0.125,1,7
"Arg2p/Arg5,6p complex",2,0.0084,2,239,0.0064,2,312,0.0,0,0,0.0004,2,4540,0.0,0,0,0.005,2,399,0.0,0,0
"Cytochrome bc1 complex (Ubiquinol-cytochrome c reductase complex, complex III)",10,0.0053,1,180,0.0063,1,151,0.0016,6,3840,0.0015,7,4540,0.0833,1,3,0.0029,1,340,0.1818,2,3
"H+-transporting ATPase, Golgi",13,0.0221,6,265,0.0307,9,289,0.0075,3,389,0.0029,13,4540,0.0667,1,3,0.0122,6,486,0.4667,7,9
"H+-transporting ATPase, vacuolar",13,0.0221,6,265,0.0307,9,289,0.0075,3,389,0.0029,13,4540,0.0667,1,3,0.0122,6,486,0.375,6,9
"actin cytoskeleton-regulatory complex, Pan1p/Sla1p/End3p complex",3,0.01,2,199,0.0058,2,345,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0042,2,477,0.1667,2,11
"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)",4,0.0167,4,239,0.0059,2,335,0.001,4,3840,0.0009,4,4540,0.8,4,5,0.0041,2,483,1.0,4,4
"alpha-1,6-mannosyltransferase complex(Anp1p/Mnn9p)",5,0.0088,4,451,0.0082,4,487,0.3333,4,11,0.0011,5,4540,0.6667,4,5,0.0086,4,462,0.8,4,4
"alpha-1,6-mannosyltransferase complex(Van1p/Mnn9p)",2,0.0038,1,265,0.0034,1,289,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0021,1,486,0.0,0,0
19/22S regulator,22,0.116,21,180,0.0259,21,809,0.04,1,4,0.0048,22,4540,0.0417,1,3,0.0235,21,892,0.3214,9,15
20S proteasome,14,0.0778,14,180,0.0977,13,132,0.0036,14,3840,0.0031,14,4540,0.0625,1,3,0.0272,13,477,0.2667,4,5
6-phosphofructokinase complex,2,0.0025,2,792,0.0025,2,809,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0022,2,892,0.0,0,0
AP-1 adaptor complex,5,0.0113,4,353,0.0108,4,368,0.0013,5,3840,0.0011,5,4540,1.0,5,5,0.0098,4,408,0.8,4,4
AP-2 adaptor complex,4,0.0123,3,242,0.0096,3,310,0.001,4,3840,0.0009,4,4540,1.0,4,4,0.0088,3,340,1.0,4,4
AP-3 adaptor complex,4,0.0126,3,238,0.0087,3,345,0.001,4,3840,0.0009,4,4540,0.0021,4,1869,0.0063,3,477,1.0,4,4
ARGR complex,4,0.0245,4,163,0.0109,4,368,0.001,4,3840,0.0009,4,4540,0.6667,4,6,0.0098,4,408,0.6667,4,6
Ada2p/Gcn5p/Ada3 transcription activator complex,5,0.0126,4,316,0.0119,4,335,0.0013,5,3840,0.0011,5,4540,0.0021,4,1869,0.0083,4,483,0.2857,2,4
Apg12p/Apg5p/Apg16 multimeric complex,3,0.0028,1,353,0.0027,1,368,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0024,1,408,0.75,3,4
Arp2/3 protein complex,7,0.03,6,199,0.0173,6,345,0.0018,7,3840,0.0015,7,4540,0.0909,1,5,0.0126,6,477,0.7,7,10
Atg20p/Snx4p/Snx41p complex,3,0.0043,2,467,0.0044,2,451,0.0008,3,3840,0.0007,3,4540,0.0005,1,1869,0.0029,2,690,0.0588,1,15
Aurora B-INCENP protein kinase complex,2,0.0043,2,467,0.0044,2,451,0.0005,2,3840,0.0004,2,4540,0.2,2,10,0.0029,2,690,0.5,2,4
Bi3 ribonucleoprotein complex,2,0.005,1,199,0.0029,1,345,0.0003,1,3840,0.0002,1,4540,0.0,0,0,0.0021,1,477,0.0,0,0
Bi4p/Nam2p complex,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
Bni4p/Glc7p complex,2,0.0164,1,60,0.002,1,487,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0014,1,690,0.0588,1,16
Bub1p/Bub3p complex,2,0.0025,2,792,0.0022,1,451,0.0005,2,3840,0.0004,2,4540,0.0,0,0,0.0022,2,892,0.0,0,0
Bub2p/Bfa1p complex,2,0.0025,2,792,0.0025,2,809,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0022,2,892,0.2,1,4
Bud14p/Glc7p complex,2,0.0164,1,60,0.0032,1,312,0.0005,2,3840,0.0004,2,4540,0.1,1,9,0.0025,1,399,0.0588,1,16
CAAX-protein geranylgeranyltransferase complex,2,0.0043,2,467,0.0044,2,451,0.6667,2,3,0.5,2,4,0.0,0,0,0.0029,2,690,0.0,0,0
CBF3 complex,4,0.0064,3,467,0.0103,3,289,0.001,4,3840,0.0009,4,4540,0.25,2,6,0.0043,3,690,0.1667,1,3
CCAAT-binding factor complex,4,0.0063,2,316,0.0059,2,335,0.001,4,3840,0.0009,4,4540,0.0016,3,1869,0.0041,2,483,0.5,3,5
CCR4-NOT core complex,9,0.0252,8,316,0.0238,8,335,0.0023,9,3840,0.002,9,4540,0.0048,9,1869,0.0165,8,483,0.7778,7,7
COMA complex,4,0.0086,4,467,0.0138,4,289,0.001,4,3840,0.0009,4,4540,0.4286,3,6,0.0058,4,690,0.0,0,0
COMPASS complex,8,0.1333,8,60,0.1702,8,47,0.0021,8,3840,0.0018,8,4540,1.0,8,8,0.0201,8,399,0.875,7,7
COPI,8,0.025,6,238,0.0173,6,345,0.0021,8,3840,0.0018,8,4540,0.0043,8,1869,0.0125,6,477,0.4545,5,8
COPII,11,0.0247,6,238,0.0201,7,345,0.005,2,389,0.0024,11,4540,0.0769,1,3,0.0146,7,477,0.2308,3,5
CORVET complex,6,0.0209,5,238,0.0145,5,345,0.0013,5,3840,0.0011,5,4540,0.0667,1,10,0.0105,5,477,0.375,3,5
CURI complex,4,0.0063,2,318,0.0185,1,51,0.001,4,3840,0.0009,4,4540,0.0011,2,1869,0.005,2,399,0.1667,1,3
