Complex,Complex Size,Leiden Jaccard,Leiden N_shared,Leiden Best Comm Size,Louvain Jaccard,Louvain N_shared,Louvain Best Comm Size,Label Propagation Jaccard,Label Propagation N_shared,Label Propagation Best Comm Size,SBM (Spectral proxy) Jaccard,SBM (Spectral proxy) N_shared,SBM (Spectral proxy) Best Comm Size,Clique Percolation Jaccard,Clique Percolation N_shared,Clique Percolation Best Comm Size,Consensus Jaccard,Consensus N_shared,Consensus Best Comm Size,MCL (XGW baseline) Jaccard,MCL (XGW baseline) N_shared,MCL (XGW baseline) Best Comm Size
mitochondrial sorting and assembly machinery complex,4,0.0056,2,353,0.0143,1,67,0.0005,2,3840,0.0004,2,4540,0.0005,1,1869,0.0049,2,408,0.1,1,7
mitotic checkpoint complex,4,0.0043,2,467,0.0066,3,451,0.001,4,3840,0.0009,4,4540,0.4,2,3,0.0029,2,690,0.4,2,3
monopolin complex,4,0.0064,3,467,0.0066,3,451,0.001,4,3840,0.0009,4,4540,0.0016,3,1869,0.0043,3,690,0.125,1,5
multi-eIF complex,8,0.0156,5,318,0.0127,4,312,0.0021,8,3840,0.0018,8,4540,0.0833,1,5,0.0099,4,399,0.25,3,7
nascent polypeptide-associated complex,3,0.0082,2,242,0.0069,2,289,0.0008,3,3840,0.0007,3,4540,0.0005,1,1869,0.0041,2,486,0.0769,1,11
nuclear cohesin complex,5,0.0085,4,467,0.0088,4,451,0.001,4,3840,0.0009,4,4540,0.1429,1,3,0.0058,4,690,0.25,2,5
nuclear condensin complex,5,0.0043,2,467,0.0044,2,451,0.0008,3,3840,0.0007,3,4540,0.0011,2,1869,0.0029,2,690,0.1429,1,3
nuclear ubiquitin ligase complex,4,0.0051,4,792,0.0049,4,809,0.001,4,3840,0.0009,4,4540,0.0021,4,1869,0.0045,4,892,0.1667,1,3
nucleolar ribonuclease P complex,9,0.022,7,316,0.0602,8,132,0.5556,5,5,0.6154,8,12,0.0,0,0,0.0144,7,483,0.0,0,0
nucleotide-excision repair factor 1 complex,3,0.0038,3,792,0.0037,3,809,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0034,3,892,0.1,1,8
nucleotide-excision repair factor 2 complex,2,0.0111,2,180,0.0025,2,809,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0022,2,892,0.5,2,4
nucleotide-excision repair factor 3 complex,7,0.0063,5,792,0.0062,5,809,0.0018,7,3840,0.0015,7,4540,0.375,3,4,0.0056,5,892,0.25,2,3
nucleotide-excision repair factor 4 complex,4,0.011,2,180,0.0064,2,312,0.001,4,3840,0.0009,4,4540,0.0016,3,1869,0.005,2,399,0.1,1,7
oligosaccharyl transferase complex,9,0.02,9,451,0.0185,9,487,0.0231,9,389,0.002,9,4540,0.0048,9,1869,0.0195,9,462,0.7778,7,7
other DNA repair complexes,2,0.0025,2,792,0.0025,2,809,0.0005,2,3840,0.0004,2,4540,0.0011,2,1869,0.0022,2,892,0.2222,2,9
palmitoyltransferase complex,2,0.0101,2,199,0.0152,2,132,0.6667,2,3,0.0004,2,4540,0.0,0,0,0.0042,2,477,0.0,0,0
peroxin docking complex,3,0.0085,3,353,0.0121,3,248,0.0008,3,3840,0.0007,3,4540,0.2,1,3,0.0074,3,408,0.4,2,4
phosphatidylinositol (PtdIns) 3-kinase complex (functions in CPY sorting),4,0.0165,4,242,0.0089,4,451,0.75,3,3,0.75,3,3,0.75,3,3,0.0058,4,690,0.75,3,3
phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy),4,0.0165,4,242,0.0089,4,451,0.4,2,3,0.4,2,3,0.4,2,3,0.0058,4,690,0.4,2,3
polarisome complex,3,0.0064,3,467,0.0067,3,451,0.0008,3,3840,0.0007,3,4540,0.2,1,3,0.0043,3,690,0.2,1,3
prefoldin complex,6,0.0107,5,467,0.0111,5,451,0.0016,6,3840,0.0013,6,4540,0.7143,5,6,0.0072,5,690,0.5,3,3
prohibitin complex,2,0.0031,1,318,0.0068,1,147,0.0003,1,3840,0.0002,1,4540,0.0,0,0,0.0025,1,399,0.0,0,0
protein farnesyltransferase complex,2,0.0043,2,467,0.0044,2,451,0.25,1,3,0.5,2,4,0.0,0,0,0.0029,2,690,0.0,0,0
protein kinase CK2 complex,4,0.0126,4,318,0.0128,4,312,0.001,4,3840,0.0009,4,4540,0.1667,1,3,0.01,4,399,0.3,3,9
protein phosphatase type 2A complex (Cdc55p),3,0.0025,2,792,0.015,2,132,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0022,2,892,0.2,1,3
protein phosphatase type 2A complex (Rts1p),3,0.0043,2,467,0.0227,3,132,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0029,2,690,0.0222,1,43
retromer complex,5,0.0251,5,199,0.016,5,312,1.0,5,5,0.0011,5,4540,1.0,5,5,0.0125,5,399,1.0,5,5
ribonuclease H2 complex,3,0.0063,2,318,0.008,1,123,0.0008,3,3840,0.0007,3,4540,0.0,0,0,0.005,2,399,0.0,0,0
ribonuclease MRP complex,10,0.0219,7,316,0.0597,8,132,0.5,5,5,0.5714,8,12,0.0,0,0,0.0165,8,483,0.0,0,0
ribonucleoside-diphosphate reductase complex,3,0.0038,3,792,0.0037,3,809,0.0008,3,3840,0.0007,3,4540,0.0016,3,1869,0.0034,3,892,0.0,0,0
serine C-palmitoyltransferase complex,2,0.0022,1,451,0.002,1,487,0.2,1,4,0.0004,2,4540,0.0011,2,1869,0.0022,1,462,0.2,1,4
signal peptidase complex,4,0.0044,2,451,0.0041,2,487,0.0077,3,389,0.0009,4,4540,0.0011,2,1869,0.0043,2,462,0.02,1,47
signal recognition particle receptor complex,2,0.0042,1,239,0.004,1,248,0.0026,1,389,0.0004,2,4540,0.0005,1,1869,0.0022,1,462,0.0208,1,47
signalosome complex,6,0.0276,5,180,0.0111,5,451,0.0016,6,3840,0.0013,6,4540,0.5,3,3,0.0072,5,690,0.8333,5,5
smc5p-Smc6p complex,8,0.0263,7,265,0.048,6,123,0.05,1,13,0.0018,8,4540,0.3333,3,4,0.0144,7,486,0.375,3,3
